SMILES,Energygap
Cc1ccc(cc1)C(F)(F)F,197.7494212
OC(=O)CCCCl,247.4939422
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,164.7123274
Nc1ccc(Cl)c(Cl)c1,169.0277068
C[C@@H](CCO)CCC=C(C)C,209.5698082
OC(C=C)C=C,210.9791935
O=N(=O)c1ccc(Cl)c(c1)N(=O)=O,168.833179
O=CC1CCCCC1,213.4515789
COc1ccc(cc1)C#C,171.1919853
Brc1cncnc1,188.3449438
COc1ccc(cc1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc2cc(ccc2c1)C(=O)O,139.4927407
N[C@@H](CC(=O)O)C(=O)O,218.3248138
CCC#CCC,230.1295131
Cc1cccc2cc[nH]c12,170.4672124
CC(=O)c1cccc(C)c1,174.692858
Nc1ccccc1C(=O)c1ccccc1,142.0234845
N#Cc1sccc1,175.4414763
Clc1ccccc1C(=O)c1ccccc1,168.8990674
CC(=C)C(=O)N,207.8416485
CC(=O)CC(=O)Nc1ccccc1,170.718216
[S]C#[S],176.7316348
CC(C)[C@@H](N)C(=O)O,225.2845161
COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,181.1988713
CC(C(=O)C)C(=O)C,197.0792416
CCCC(=O)c1ccc(Cl)cc1,172.6703965
c1ncncn1,204.2661022
CCOC(=O)C(=C)CBr,190.729478
CCCCC/C=C/C,221.5031469
C[Si](C)(O)c1ccccc1,196.7403867
C[C@@H](Br)c1ccccc1,188.1366108
CC1(C)N(Br)C(=O)N(Br)C1=O,175.6466717
CSc1ccccc1N,171.5923361
CNCCNC,219.8433856
Oc1cccc(C=O)c1,163.6160692
CC(C)(N)C(=O)O,229.4643536
CCCCO,253.9597949
Fc1c(F)c(C#N)c(F)c(C#N)c1F,178.5143878
CCCCOC(=O)C(=C)C,202.1501418
CCCCOc1ccc(cc1)C(=O)C,169.2793379
CC[C@@](C)(O)C#C,239.5609734
FC(F)(F)c1ccncc1,197.1677204
CC(=C)C(=O)C,193.1265624
Nc1cccnc1,174.444992
C[C@@H]1[C@@H](C)C(=O)C(=C1C)C,190.3241072
COc1nc(Cl)nc(OC)n1,212.6841354
CC(C)[C@@H]1COC(=O)N1,236.9794014
Ic1ccc(I)cc1,174.0339736
CN1CCN(C)C1=O,219.8276979
ClC(=O)c1sccc1,168.8018035
ICC=C,181.8420681
NCc1occc1,198.4265034
CCOC(=O)CBr,236.6712944
Cc1cc(C)c(C)cc1C,190.1948404
OC(=O)c1cc(=O)[nH]c(c1)O,147.0636367
C[Si](C)(c1ccccc1)[Si](C)(C)c1ccccc1,176.2666506
CCCCCCO,251.981259
CN(CCO)CCO,217.2222805
NCc1ccc(O)cc1,182.7952542
CCCCP(CCCC)CCCC,201.464902
COC(=O)[C@@H](Cc1ccccc1)NC(=O)C,196.4416925
COc1ccc(SSc2ccc(OC)cc2)cc1,145.5871081
O=C1CCCCC1=O,169.8258982
ClS(=O)(=O)c1ccccc1,185.5839042
OC(=O)c1ccc(cc1Cl)N(=O)=O,166.0376264
CCO/C=C(\C)/C=O,183.9617935
CCOC(=O)c1ccc(I)cc1,168.838199
CC(C)[C@@H](C(=O)O)c1ccc(Cl)cc1,187.7720281
Oc1ccc(Cl)cc1,178.801787
[nH]1ccnc1c1ccccc1,161.1926294
COc1ccc(cc1)C(=O)C,169.6796886
O=N(=O)c1cccc(C=O)c1,175.7364055
C/C=C/C=C/C(=O)O,164.6727943
Nc1cc(ccc1Br)C(F)(F)F,168.4980892
Oc1ccc(F)cc1,180.198622
Oc1cc(F)c(F)c(F)c1,190.0900464
ClC=C(Cl)Cl,196.5671943
OC(=O)c1oc(Br)cc1,172.6572188
ClCC#N,248.2155775
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,178.0594438
CC(=O)c1ccc(F)cc1,180.3554992
Brc1ccccn1,187.7751657
Cl[Bi](Cl)Cl,199.3759245
c1ccc(cc1)/C=C(\c1ccccc1)/c1ccccc1,144.5115576
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,139.341511
Fc1cccnc1,195.2487978
CC(C)I,192.1463933
OC[C@@H]1c2ccccc2c2ccccc12,161.9148923
NCc1ccncc1,200.9861126
Brc1ccccc1C=O,167.4670919
Cc1ccccc1C(=O)Cl,174.967707
CCOC(=O)C=C(C)C,197.0811241
OC(=O)/C=C/c1cccnc1,159.7556338
O=C(c1sccc1)c1ccccc1,163.5803011
Cc1cc(Cl)ccc1C#N,175.2218481
COc1cc(OC)cc(C=O)c1,157.6635188
ClS(=O)(=O)Cl,209.8170468
OC1=C(O)C(=O)C(=C(O)C1=O)O,119.0974431
Nc1cnc2ccccc2c1,149.3609472
CC(=O)Oc1ccc(C=C)cc1,164.615691
CCC=O,216.701448
CC(C)(C)Br,227.5699039
[nH]1ccnc1,212.9225888
OCCBr,231.3280553
Cc1c(N)cccc1Br,177.2166992
CC(C)C(=O)Cl,229.043295
CC(=O)c1c(O)ccc2ccccc12,147.6070595
Fc1ccccc1F,197.8824531
CCCCCCCCCCCCCCCCCC(=O)O,243.6648822
Clc1ccccc1C=C,170.12773
OC(=O)c1c(O)ccc2ccccc12,149.8704845
OC(=O)c1ccc2ccccc2c1,151.5289908
COC(=O)Cc1cccc2ccccc12,155.555716
CSc1ccc(C)cc1,182.1953556
Nc1c(F)cccc1C(=O)O,175.4113558
Oc1cccc(O)c1,187.2160551
CC(=O)CCC=C,212.9853397
Cl/C(=C\c1ccccc1)/C=O,146.1888892
s1cnc2ccccc12,175.5236799
